global_block_title,direction_title,system_title,product_group_id,product_group_title,mapped_vendors,coverage
Энергетика,ЭОМ,Электрооборудование,uninterruptible-power-supplies,Источники бесперебойного питания,2,covered
Энергетика,ЭОМ,Электрооборудование,elektrika,Электрика,14,covered
Энергетика,ЭОМ,Электрооборудование,kommutatsionnoe-elektrooborudovanie,"Коммутационное электрооборудование,",14,covered
Энергетика,ЭОМ,Электрооборудование,schitovoe-oborudovanie,Щитовое оборудование,9,covered
Энергетика,ЭОМ,Электрооборудование,molniezaschita,Молниезащита,1,covered
Энергетика,ЭОМ,Электрооборудование,elektroustanovochnye-izdeliya,Электроустановочные изделия,7,covered
Энергетика,ЭОМ,Световые приборы,luminaires,Светильники,12,covered
Энергетика,ЭОМ,Световые приборы,cable-trays,Кабеленесущие системы лотки,1,covered
Энергетика,ЭОМ,Световые приборы,pvc-cable-management,Кабеленесущие системы из ПВХ,1,covered
Энергетика,ЭОМ,Световые приборы,lightning-protection-and-grounding,Молниезащита и заземление,1,covered
Энергетика,ЭОМ,Световые приборы,input-distribution-device,Вводно-распределительное устройство (ВРУ),5,covered
Энергетика,ЭОМ,Световые приборы,lighting-fixtures,Светильники,12,covered
Энергетика,ЭОМ,Кабельная продукция различного и специального назначения,electrical-cable-products,ЭМ,8,covered
Энергетика,ЭОМ,Кабельная продукция различного и специального назначения,kabelnaya-produktsiya,Кабельная продукция,8,covered
Энергетика,ЭОМ,Наружное освещение,poles-and-outdoor-lighting,Опоры и наружное освещение,11,covered
Энергетика,ЭОМ,Наружное освещение,architectural-and-street-lighting,"Архитектурно-художественное освещение, уличное освещение",8,covered
Энергетика,ЭОМ,Внутреннее освещение,commercial-interior-linear-recessed-lighting,"Для бизнеса, интерьерные, линейные, встраиваемые",9,covered
Энергетика,ЭОМ,Охранное освещение,brackets-mounting-units-and-luminaires,"Кронштейны, узлы крепления, светильники",1,covered
Энергетика,ЭОМ,Трансформаторные и распределительные подстанции,bktp-brp-vru,"БКТП, БРП, ВРУ",4,covered
Энергетика,ЭОМ,Трансформаторные и распределительные подстанции,uzly-sistemy-elektrosnabzheniya,"Узлы системы электроснабжения,",4,covered
Энергетика,ЭОМ,Кабеленесущие системы,cable-support-systems,Кабеленесущие системы,1,covered
Энергетика,Зарядная инфраструктура,Зарядочные станции для электромобилей,zaryadochnye-stantsii-dlya-elektromobiley,Зарядочные станции для электромобилей,2,covered
IT оборудование и ПО,IT-инфраструктура,Серверы и ЦОД,servers,Серверы,5,covered
IT оборудование и ПО,IT-инфраструктура,Серверы и ЦОД,storage-systems,Системы хранения данных,5,covered
IT оборудование и ПО,IT-инфраструктура,Серверы и ЦОД,servery-i-shd,Серверы и СХД,5,covered
IT оборудование и ПО,IT-инфраструктура,Сетевое оборудование,network-switches,Коммутаторы,7,covered
IT оборудование и ПО,IT-инфраструктура,Сетевое оборудование,setevoe-oborudovanie-i-telekom,Сетевое оборудование и телеком,7,covered
IT оборудование и ПО,IT-инфраструктура,ЦОД и инфраструктура,datacenter-infrastructure-components,Инфраструктурные компоненты ЦОД,2,covered
IT оборудование и ПО,IT-инфраструктура,Рабочие станции,workstations-and-corporate-pcs,Рабочие станции и корпоративные ПК,2,covered
IT оборудование и ПО,IT-инфраструктура,Рабочие станции,personalnoe-oborudovanie,Персональное оборудование,2,covered
IT оборудование и ПО,IT-инфраструктура,Корпоративные устройства,all-in-one-laptops-and-tablets,"Моноблоки, ноутбуки и планшеты",2,covered
IT оборудование и ПО,IT-инфраструктура,Корпоративные устройства,interaktivnoe-oborudovanie,Интерактивное оборудование,1,covered
IT оборудование и ПО,IT-инфраструктура,ПО и управление,software-monitoring-and-virtualization,"ПО, мониторинг и виртуализация",4,covered
IT оборудование и ПО,IT-инфраструктура,ПО и управление,programmnoe-obespechenie,Программное обеспечение,1,covered
IT оборудование и ПО,IT-инфраструктура,ПО и управление,virtualizatsiya-i-vdi,Виртуализация и VDI,1,covered
IT оборудование и ПО,IT-инфраструктура,ПО и управление,upravlenie-it-infrastrukturoy,Управление ИТ-инфраструктурой,1,covered
IT оборудование и ПО,IT-инфраструктура,ПО и управление,operatsionnye-sistemy,Операционные системы,1,covered
IT оборудование и ПО,IT-инфраструктура,ПО и управление,upravlenie-dannymi-i-analitika,Управление данными и аналитика,1,covered
IT оборудование и ПО,IT-инфраструктура,ПО и управление,rezervnoe-kopirovanie,Резервное копирование,1,covered
IT оборудование и ПО,IT-инфраструктура,ПО и управление,platformy-razrabotki-i-sborki-po,Платформы разработки и сборки ПО,1,covered
IT оборудование и ПО,IT-инфраструктура,Информационная безопасность,informatsionnaya-bezopasnost,Информационная безопасность,3,covered
ТХ оборудование,Технологическое оборудование,МАФ,street-furniture-and-small-architectural-forms,Уличная мебель и малые архитектурные формы,1,covered
ТХ оборудование,Технологическое оборудование,Медицинские газы и оборудование,medical-gases,Медицинские газы,1,covered
